product,8l_sn,Wlan_Mac,Eth_Mac,BT_Mac,time
MIDI,2240LZ50VW88,0881B2000C2E,0881B2000C2F,0881B2000C30,7/10/2022 0:01
MIDI,2240LZ50V948,0881B2000A10,0881B2000A11,0881B2000A12,5/10/2022 5:09
MIDI,2240LZ50V8M8,0881B2000A40,0881B2000A41,0881B2000A42,5/10/2022 7:07
MIDI,2240LZ50MK58,0881B2000B0A,0881B2000B0B,0881B2000B0C,6/10/2022 3:13
MIDI,2240LZ50VUF8,0881B2000C45,0881B2000C46,0881B2000C47,7/10/2022 1:05
MIDI,2240LZ50VUD8,0881B2000C4B,0881B2000C4C,0881B2000C4D,7/10/2022 0:56
MIDI,2240LZ50VVL8,0881B2000DF6,0881B2000DF7,0881B2000DF8,8/10/2022 4:04
MIDI,2240LZ50VVS8,0881B2000BBF,0881B2000BC0,0881B2000BC1,7/10/2022 1:29
MIDI,2240LZ50VWQ8,0881B2000B6A,0881B2000B6B,0881B2000B6C,6/10/2022 6:02
MIDI,2240LZ50VVP8,0881B2000BCE,0881B2000BCF,0881B2000BD0,6/10/2022 9:44
MIDI,2240LZ50MJZ8,0881B2000B17,0881B2000B18,0881B2000B19,6/10/2022 4:28
MIDI,2240LZ50VUP8,0881B2000C2B,0881B2000C2C,0881B2000C2D,6/10/2022 11:01
MIDI,2240LZ50MJX8,0881B2000B1D,0881B2000B1E,0881B2000B1F,6/10/2022 6:44
MIDI,2240LZ50VRE8,0881B2000D61,0881B2000D62,0881B2000D63,7/10/2022 8:43
MIDI,2240LZ50VRG8,0881B2000D58,0881B2000D59,0881B2000D5A,7/10/2022 8:34
MIDI,2240LZ50VQJ8,0881B2000DBE,0881B2000DBF,0881B2000DD0,8/10/2022 2:51
MIDI,2240LZ50MK08,0881B2000B13,0881B2000B14,0881B2000B15,6/10/2022 4:11
MIDI,2240LZ50MJF8,0881B2000B4D,0881B2000B4E,0881B2000B4F,6/10/2022 5:28
MIDI,2240LZ50VR68,0881B2000D79,0881B2000D7A,0881B2000D7B,8/10/2022 2:24
MIDI,2240LZ50MJE8,0881B2000B50,0881B2000B51,0881B2000B52,6/10/2022 6:12
MIDI,2240LZ50MKA8,0881B2000AEF,0881B2000AF0,0881B2000AF1,6/10/2022 9:27
MIDI,2240LZ50MJY8,0881B2000B1A,0881B2000B1B,0881B2000B1C,6/10/2022 4:19
MIDI,2240LZ50MKD8,0881B2000AFB,0881B2000AFC,0881B2000AFD,6/10/2022 3:28
MIDI,2240LZ50MK88,0881B2000AEC,0881B2000AED,0881B2000AEE,6/10/2022 9:31
MIDI,2240LZ50VS48,0881B2000D49,0881B2000D4A,0881B2000D4B,7/10/2022 8:26
MIDI,2240LZ50MK78,0881B2000B01,0881B2000B02,0881B2000B03,6/10/2022 2:47
MIDI,2240LZ50VR88,0881B2000D73,0881B2000D74,0881B2000D75,7/10/2022 9:01
MIDI,2240LZ50VUB8,0881B2000C51,0881B2000C52,0881B2000C53,7/10/2022 2:02
MIDI,2240LZ50MJW8,0881B2000B2C,0881B2000B2D,0881B2000B2E,6/10/2022 5:36
MIDI,2240LZ50V8U8,0881B2000A2B,0881B2000A2C,0881B2000A2D,5/10/2022 5:40
MIDI,2240LZ50VUE8,0881B2000C48,0881B2000C49,0881B2000C4A,7/10/2022 0:52
MIDI,2240LZ50MKB8,0881B2000AF2,0881B2000AF3,0881B2000AF4,7/10/2022 1:09
MIDI,2240LZ50V888,0881B2000A62,0881B2000A63,0881B2000A64,5/10/2022 8:10
MIDI,2240LZ50MJS8,0881B2000B29,0881B2000B2A,0881B2000B2B,6/10/2022 4:46
MIDI,2240LZ50V8B8,0881B2000A59,0881B2000A5A,0881B2000A5B,5/10/2022 7:53
MIDI,2240LZ50MJT8,0881B2000B23,0881B2000B24,0881B2000B25,6/10/2022 4:32
MIDI,2240LZ50MJU8,0881B2000B20,0881B2000B21,0881B2000B22,6/10/2022 4:59
